LICENCE_NO,AREA_NAME,LW_FREQUENCY_START,LW_FREQUENCY_END,LW_BW,UP_FREQUENCY_START,UP_FREQUENCY_END,UP_BW,USAGE,LICENCE_CATEGORY_NAME
9263448,Sydney,1755.0,1770.0,15.0,1850.0,1865.0,15.0,30.0,1800 MHz Band
9263448,Perth,1755.0,1770.0,15.0,1850.0,1865.0,15.0,30.0,1800 MHz Band
9263448,Melbourne,1755.0,1770.0,15.0,1850.0,1865.0,15.0,30.0,1800 MHz Band
9263448,Adelaide,1755.0,1770.0,15.0,1850.0,1865.0,15.0,30.0,1800 MHz Band
9263448,Brisbane,1755.0,1770.0,15.0,1850.0,1865.0,15.0,30.0,1800 MHz Band
9263452,Melbourne,1725.0,1737.5,12.5,1820.0,1832.5,12.5,25.0,1800 MHz Band
9263452,Adelaide,1730.0,1740.0,10.0,1825.0,1835.0,10.0,20.0,1800 MHz Band
9263452,Brisbane,1730.0,1740.0,10.0,1825.0,1835.0,10.0,20.0,1800 MHz Band
9263452,Perth,1730.0,1740.0,10.0,1825.0,1835.0,10.0,20.0,1800 MHz Band
9263452,Sydney,1725.0,1740.0,15.0,1820.0,1835.0,15.0,30.0,1800 MHz Band
9263452,Darwin,1745.0,1750.0,5.0,1840.0,1845.0,5.0,10.0,1800 MHz Band
9263452,Canberra,1730.0,1735.0,5.0,1825.0,1830.0,5.0,10.0,1800 MHz Band
9263452,Tasmania,1745.0,1750.0,5.0,1840.0,1845.0,5.0,10.0,1800 MHz Band
9263460,Brisbane,1770.0,1775.0,5.0,1865.0,1870.0,5.0,10.0,1800 MHz Band
9263461,Perth,1770.0,1775.0,5.0,1865.0,1870.0,5.0,10.0,1800 MHz Band
9367136,Brisbane,1740.0,1745.0,5.0,1835.0,1840.0,5.0,10.0,1800 MHz Band
9367136,Perth,1740.0,1745.0,5.0,1835.0,1840.0,5.0,10.0,1800 MHz Band
9367136,Adelaide,1740.0,1745.0,5.0,1835.0,1840.0,5.0,10.0,1800 MHz Band
9367136,Melbourne,1737.5,1740.0,2.5,1832.5,1835.0,2.5,5.0,1800 MHz Band
9367781,Perth,1775.0,1785.0,10.0,1870.0,1880.0,10.0,20.0,1800 MHz Band
9367783,Brisbane,1775.0,1785.0,10.0,1870.0,1880.0,10.0,20.0,1800 MHz Band
9369568,Area 2,2302.0,2400.0,98.0,,,,,2.3 GHz Band
9369568,Area 3,2302.0,2365.0,63.0,,,,,2.3 GHz Band
9369568,Area 4,2302.0,2365.0,63.0,,,,,2.3 GHz Band
9369568,Area 5,2302.0,2365.0,63.0,,,,,2.3 GHz Band
9369568,Area 1,2302.0,2400.0,98.0,,,,,2.3 GHz Band
9369568,Area 6,2337.0,2365.0,28.0,,,,,2.3 GHz Band
9369568,Area 7,2337.0,2365.0,28.0,,,,,2.3 GHz Band
9445340,National,2570.0,2585.0,15.0,,,,,2.5 GHz Mid Band Gap
9445341,National,2585.0,2595.0,10.0,,,,,2.5 GHz Mid Band Gap
9445342,National,2595.0,2605.0,10.0,,,,,2.5 GHz Mid Band Gap
9445343,National,2605.0,2620.0,15.0,,,,,2.5 GHz Mid Band Gap
9448618,Merge: 2.3 GHz Band Adelaide + 2.3 GHz Band,2386.0,2400.0,14.0,,,,,2.3 GHz Band
9448619,2.3 GHz Band,2302.0,2386.0,84.0,,,,,2.3 GHz Band
9448619,2.3 GHz Band,2302.0,2400.0,98.0,,,,,2.3 GHz Band
9448619,2.3 GHz Band,2330.0,2400.0,70.0,,,,,2.3 GHz Band
9448619,Merge: 2.3 GHz Band + Merge: 2.3 GHz Band + 2.3 GHz Band,2309.0,2400.0,91.0,,,,,2.3 GHz Band
9448619,Merge: 2.3 GHz Band + Merge: 2.3 GHz Band + 2.3 GHz Band,2302.0,2393.0,91.0,,,,,2.3 GHz Band
9448619,Merge: 2.3 GHz Band + 2.3 GHz Band,2302.0,2393.0,91.0,,,,,2.3 GHz Band
9448619,Merge: 2.3 GHz Band + 2.3 GHz Band,2302.0,2400.0,98.0,,,,,2.3 GHz Band
9448620,2.3 GHz Band Perth,2386.0,2400.0,14.0,,,,,2.3 GHz Band
9448621,Merge: 2.3 GHz Band + 2.3 GHz Band,2302.0,2309.0,7.0,,,,,2.3 GHz Band
9460456,Adelaide,1775.0,1785.0,10.0,1870.0,1880.0,10.0,20.0,1800 MHz Band
9460463,Sydney,1770.0,1775.0,5.0,1865.0,1870.0,5.0,10.0,1800 MHz Band
9460464,Sydney,1775.0,1785.0,10.0,1870.0,1880.0,10.0,20.0,1800 MHz Band
9460484,Melbourne,1770.0,1775.0,5.0,1865.0,1870.0,5.0,10.0,1800 MHz Band
9460485,Melbourne,1775.0,1785.0,10.0,1870.0,1880.0,10.0,20.0,1800 MHz Band
9460720,2.3 GHz Band,2302.0,2393.0,91.0,,,,,2.3 GHz Band
9460720,2.3 GHz Band,2330.0,2400.0,70.0,,,,,2.3 GHz Band
9460720,2.3 GHz Band,2309.0,2400.0,91.0,,,,,2.3 GHz Band
9460720,2.3 GHz Band,2302.0,2386.0,84.0,,,,,2.3 GHz Band
9460721,2.3 GHz Band,2302.0,2386.0,84.0,,,,,2.3 GHz Band
9460722,2.3 GHz Band,2302.0,2393.0,91.0,,,,,2.3 GHz Band
