,LICENCE_NO,AREA_NAME,LW_FREQUENCY_START,LW_FREQUENCY_END,UP_FREQUENCY_START,UP_FREQUENCY_END
393,11204111,MA2-3,27500.0,30000.0,,
394,11204111,MA2-4,27500.0,30000.0,,
395,11204111,MA2-5,27500.0,30000.0,,
396,11204111,MA2-6,27500.0,30000.0,,
397,11204111,MA2-7,27500.0,30000.0,,
398,11204111,MA2-8,27500.0,30000.0,,
399,11204111,MA2-9,27500.0,30000.0,,
400,11204111,MA2-10,27500.0,30000.0,,
401,11204111,MA2-11,27500.0,30000.0,,
402,11204111,MA2-12,27500.0,30000.0,,
403,11204111,MA2-13,27500.0,30000.0,,
404,11204111,MA2-14,27500.0,30000.0,,
405,11204111,MA2-15,27500.0,30000.0,,
406,11204111,MA2-16,27500.0,30000.0,,
407,11204111,MA2-17,27500.0,30000.0,,
408,11204111,MA2-18,27500.0,30000.0,,
409,11204111,MA2-19,27500.0,30000.0,,
410,11204111,MA2-20,27500.0,30000.0,,
411,11204111,MA2-21,27500.0,30000.0,,
412,11204111,MA2-22,27500.0,30000.0,,
413,11204111,MA2-23,27500.0,30000.0,,
414,11204111,MA2-24,27500.0,30000.0,,
415,11204111,MA2-25,27500.0,30000.0,,
416,11204111,MA2-26,27500.0,30000.0,,
417,11204111,MA2-27,27500.0,30000.0,,
418,11204111,MA2-28,27500.0,30000.0,,
419,11204111,MA2-29,27500.0,30000.0,,
420,11204111,MA1,27500.0,30000.0,,
421,11204111,MA2,27500.0,30000.0,,
422,11204111,MA3,27500.0,30000.0,,
423,11204111,MA4,27500.0,30000.0,,
424,11204111,MA5,27500.0,30000.0,,
425,11204111,MA6,27500.0,30000.0,,
426,11204111,MA7,27500.0,30000.0,,
427,11204111,MA8,27500.0,30000.0,,
428,11204111,MA9,27500.0,30000.0,,
429,11204111,MA10,27500.0,30000.0,,
430,11204111,MA14,27500.0,30000.0,,
431,11204111,MA15,27500.0,30000.0,,
432,11204111,MA16,27500.0,30000.0,,
433,11204111,MA17,27500.0,30000.0,,
434,11204111,MA18,27500.0,30000.0,,
435,11204111,MA19,27500.0,30000.0,,
436,11204111,MA20,27500.0,30000.0,,
437,11204111,MA21,27500.0,30000.0,,
438,11204111,MA22,27500.0,30000.0,,
439,11204111,MA23,27500.0,30000.0,,
440,11204111,MA24,27500.0,30000.0,,
441,11204111,MA25,27500.0,30000.0,,
442,11204111,MA26,27500.0,30000.0,,
443,11204111,MA27,27500.0,30000.0,,
444,11204111,MA28,27500.0,30000.0,,
445,11204111,MA29,27500.0,30000.0,,
446,11204111,MA30,27500.0,30000.0,,
447,11204111,MA31,27500.0,30000.0,,
448,11204111,MA32,27500.0,30000.0,,
449,11204111,MA33,27500.0,30000.0,,
450,11204111,MA34,27500.0,30000.0,,
451,11204111,MA35,27500.0,30000.0,,
452,11204111,MA36,27500.0,30000.0,,
453,11204111,MA37,27500.0,30000.0,,
454,11204111,MA38,27500.0,30000.0,,
455,11204111,MA39,27500.0,30000.0,,
456,11204111,MA40,27500.0,30000.0,,
457,11204111,MA41,27500.0,30000.0,,
458,11204111,MA42,27500.0,30000.0,,
459,11204111,MA43,27500.0,30000.0,,
460,11204111,MA44,27500.0,30000.0,,
461,11204111,MA45,27500.0,30000.0,,
462,11204111,MA46,27500.0,30000.0,,
463,11204111,MA47,27500.0,30000.0,,
464,11204111,MA48,27500.0,30000.0,,
465,11204111,MA49,27500.0,30000.0,,
466,11204111,MA50,27500.0,30000.0,,
467,11204111,MA11,27500.0,30000.0,,
468,11204111,MA12,27500.0,30000.0,,
469,11204111,MA13,27500.0,30000.0,,
470,11204111,MA51,27500.0,30000.0,,
471,11204111,MA52,27500.0,30000.0,,
472,11204111,MA53,27500.0,30000.0,,
473,11204111,MA54,27500.0,30000.0,,
474,11204111,MA55,27500.0,30000.0,,
475,11204111,MA56,27500.0,30000.0,,
476,11204111,MA57,27500.0,30000.0,,
477,11204111,MA58,27500.0,30000.0,,
478,11204122,MA1,27500.0,30000.0,,
479,11204122,MA2,27500.0,30000.0,,
480,11204122,MA3,27500.0,30000.0,,
481,11204122,MA4,27500.0,30000.0,,
482,11204122,MA5,27500.0,30000.0,,
483,11204122,MA6,27500.0,30000.0,,
484,11204122,MA7,27500.0,30000.0,,
485,11204122,MA8,27500.0,30000.0,,
486,11204122,MA9,27500.0,30000.0,,
487,11204122,MA10,27500.0,30000.0,,
488,11204122,MA11,27500.0,30000.0,,
489,11204122,MA12,27500.0,30000.0,,
490,11204122,MA13,27500.0,30000.0,,
491,11204122,MA14,27500.0,30000.0,,
492,11204122,MA15,27500.0,30000.0,,
493,11204122,MA16,27500.0,30000.0,,
494,11204122,MA17,27500.0,30000.0,,
495,11204122,MA18,27500.0,30000.0,,
496,11204122,MA19,27500.0,30000.0,,
497,11204122,MA20,27500.0,30000.0,,
498,11204122,MA21,27500.0,30000.0,,
499,11204122,MA22,27500.0,30000.0,,
500,11204122,MA23,27500.0,30000.0,,
501,11204122,MA24,27500.0,30000.0,,
502,11204122,MA25,27500.0,30000.0,,
503,11204122,MA26,27500.0,30000.0,,
504,11204122,MA27,27500.0,30000.0,,
505,11204122,MA28,27500.0,30000.0,,
506,11204122,MA29,27500.0,30000.0,,
507,11204122,MA30,27500.0,30000.0,,
508,11204122,MA31,27500.0,30000.0,,
509,11204122,MA32,27500.0,30000.0,,
510,11204122,MA33,27500.0,30000.0,,
511,11204122,MA34,27500.0,30000.0,,
512,11204122,MA35,27500.0,30000.0,,
